n,execution_time
343,0.007002353668212891
344,0.009012222290039062
345,0.002000093460083008
346,0.003995180130004883
347,0.0020003318786621094
348,0.0019965171813964844
349,0.003007650375366211
350,0.0009996891021728516
351,0.0029993057250976562
352,0.0009996891021728516
353,0.004004955291748047
354,0.0030007362365722656
355,0.003001689910888672
356,0.0030035972595214844
357,0.0019991397857666016
358,0.003004789352416992
359,0.0019948482513427734
360,0.003000974655151367
361,0.004001617431640625
362,0.0020020008087158203
363,0.0029878616333007812
364,0.0029997825622558594
365,0.0009984970092773438
366,0.0030028820037841797
367,0.0019903182983398438
368,0.003993034362792969
369,0.0030078887939453125
370,0.0019989013671875
371,0.002000570297241211
372,0.0009987354278564453
373,0.0029816627502441406
374,0.0020003318786621094
375,0.003000974655151367
376,0.0009996891021728516
377,0.002992868423461914
378,0.0019996166229248047
379,0.0029840469360351562
380,0.0010004043579101562
381,0.0019986629486083984
382,0.0030112266540527344
383,0.004999876022338867
384,0.0030062198638916016
385,0.0029938220977783203
386,0.0030024051666259766
387,0.00799870491027832
388,0.0060002803802490234
389,0.0029997825622558594
390,0.002000093460083008
391,0.001997232437133789
392,0.0009992122650146484
393,0.0030083656311035156
394,0.001991748809814453
395,0.0040018558502197266
396,0.0019960403442382812
397,0.001997232437133789
398,0.0020017623901367188
399,0.002994060516357422
400,0.004995822906494141
401,0.0030100345611572266
402,0.0019881725311279297
403,0.003002643585205078
404,0.002000093460083008
405,0.002993345260620117
406,0.0020020008087158203
407,0.001999378204345703
408,0.003000020980834961
409,0.0030028820037841797
410,0.0020008087158203125
411,0.0029947757720947266
412,0.003002166748046875
413,0.0019953250885009766
414,0.0029990673065185547
415,0.002000570297241211
416,0.0009984970092773438
417,0.003006458282470703
418,0.0010001659393310547
419,0.0030019283294677734
420,0.0010001659393310547
421,0.0030052661895751953
422,0.0009999275207519531
423,0.002001523971557617
424,0.001995086669921875
425,0.002009153366088867
426,0.0019974708557128906
427,0.0030045509338378906
428,0.0029997825622558594
429,0.002994537353515625
430,0.002001047134399414
431,0.001999378204345703
432,0.0030193328857421875
433,0.0019981861114501953
434,0.0030002593994140625
435,0.001997709274291992
436,0.002005338668823242
437,0.0019981861114501953
438,0.0030059814453125
439,0.0009980201721191406
440,0.0030059814453125
441,0.0009930133819580078
442,0.002002239227294922
443,0.001989126205444336
444,0.00400543212890625
445,0.0029997825622558594
446,0.0009999275207519531
447,0.0030019283294677734
448,0.0010001659393310547
449,0.0009992122650146484
450,0.0029931068420410156
451,0.003997325897216797
452,0.0029993057250976562
453,0.001992464065551758
454,0.0030028820037841797
455,0.0019969940185546875
456,0.01999974250793457
457,0.003007650375366211
458,0.008992910385131836
459,0.0049991607666015625
460,0.003997087478637695
461,0.002003192901611328
462,0.0019965171813964844
463,0.003004312515258789
464,0.0009992122650146484
465,0.005003213882446289
466,0.004006862640380859
467,0.0019998550415039062
468,0.00400090217590332
469,0.0020003318786621094
470,0.00398707389831543
471,0.0030031204223632812
472,0.001998424530029297
473,0.0039975643157958984
474,0.001999378204345703
475,0.003996610641479492
476,0.0020003318786621094
477,0.0030002593994140625
478,0.002005338668823242
479,0.002994537353515625
480,0.003004789352416992
481,0.0009999275207519531
482,0.00200653076171875
483,0.0019979476928710938
484,0.002015829086303711
485,0.0019969940185546875
486,0.002009153366088867
487,0.009995460510253906
488,0.015999555587768555
489,0.028000593185424805
490,0.002998828887939453
491,0.002001047134399414
492,0.0019991397857666016
493,0.0020003318786621094
494,0.0020012855529785156
495,0.004000425338745117
496,0.0019943714141845703
